Adjacency Listing
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,0
0,33
1,34
2,35
3,36
4,37
5,38
6,39
7,40
8,41
9,42
10,43
11,44
12,45
13,46
14,47
15,48
16,49
17,50
18,51
19,52
20,53
21,54
22,55
23,56
24,57
25,58
26,59
27,60
28,61
29,62
30,63
31,64
32,65
33,36
34,37
35,38
36,39
37,40
38,41
39,42
40,43
41,44
42,45
43,46
44,47
45,48
46,49
47,50
48,51
49,52
50,53
51,54
52,55
53,56
54,57
55,58
56,59
57,60
58,61
59,62
60,63
61,64
62,65
63,33
64,34
65,35
