Adjacency Listing
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,0
0,31
1,32
2,33
3,34
4,35
5,36
6,37
7,38
8,39
9,40
10,41
11,42
12,43
13,44
14,45
15,46
16,47
17,48
18,49
19,50
20,51
21,52
22,53
23,54
24,55
25,56
26,57
27,58
28,59
29,60
30,61
31,34
32,35
33,36
34,37
35,38
36,39
37,40
38,41
39,42
40,43
41,44
42,45
43,46
44,47
45,48
46,49
47,50
48,51
49,52
50,53
51,54
52,55
53,56
54,57
55,58
56,59
57,60
58,61
59,31
60,32
61,33
